--- VANDOR'S BATCH 15 ---
00001. Respandentson -> Respondents (Shift 10)
00002. Untaon -> Unto (Shift 10)
00003. Ceramecaon -> Ceramic (Shift 10)
00004. Pramptaon -> Prompt (Shift 10)
00005. Preceauson -> Precious (Shift 10)
00006. Mendson -> Minds (Shift 10)
00007. Annuallyoson -> Annually (Shift 10)
00008. Cansederateanson -> Considerations (Shift 10)
00009. Scannersoson -> Scanners (Shift 10)
00010. Atmoson -> Atm (Shift 10)
00011. Xanaxoson -> Xanax (Shift 10)
00012. Paysoson -> Pays (Shift 10)
00013. Fengerson -> Fingers (Shift 10)
00014. Sunnyoson -> Sunny (Shift 10)
00015. Ebaakson -> Ebooks (Shift 10)
00016. Deleverson -> Delivers (Shift 10)
00017. Queenslandoson -> Queensland (Shift 10)
00018. Necklaceoson -> Necklace (Shift 10)
00019. Museceanson -> Musicians (Shift 10)
00020. Leedsoson -> Leeds (Shift 10)
00021. Campaseteon -> Composite (Shift 10)
00022. Unavaelableon -> Unavailable (Shift 10)
00023. Cedaroson -> Cedar (Shift 10)
00024. Arrangedoson -> Arranged (Shift 10)
00025. Langoson -> Lang (Shift 10)
00026. Theatersoson -> Theaters (Shift 10)
00027. Advacacyaon -> Advocacy (Shift 10)
00028. Raleeghaon -> Raleigh (Shift 10)
00029. Studoson -> Stud (Shift 10)
00030. Faldaon -> Fold (Shift 10)
00031. Essenteallyaon -> Essentially (Shift 10)
00032. Desegnengaon -> Designing (Shift 10)
00033. Threadedoson -> Threaded (Shift 10)
00034. Qualefyaon -> Qualify (Shift 10)
00035. Blaeraon -> Blair (Shift 10)
00036. Hapeson -> Hopes (Shift 10)
00037. Assessmentsoson -> Assessments (Shift 10)
00038. Cmsoson -> Cms (Shift 10)
00039. Masanon -> Mason (Shift 10)
00040. Deagramaon -> Diagram (Shift 10)
00041. Burnsoson -> Burns (Shift 10)
00042. Pumpsoson -> Pumps (Shift 10)
00043. Faatwearaon -> Footwear (Shift 10)
00044. Vecaon -> Vic (Shift 10)
00045. Beejengaon -> Beijing (Shift 10)
00046. Peapleson -> Peoples (Shift 10)
00047. Pason -> Pos (Shift 10)
00048. Attachoson -> Attach (Shift 10)
00049. Lecenseson -> Licenses (Shift 10)
00050. Utelson -> Utils (Shift 10)
00051. Remavengaon -> Removing (Shift 10)
00052. Advesedaon -> Advised (Shift 10)
00053. Brunsweckaon -> Brunswick (Shift 10)
00054. Spederaon -> Spider (Shift 10)
00055. Physoson -> Phys (Shift 10)
00056. Rangesoson -> Ranges (Shift 10)
00057. Paerson -> Pairs (Shift 10)
00058. Sensetevetyaon -> Sensitivity (Shift 10)
00059. Traelson -> Trails (Shift 10)
00060. Preservateanon -> Preservation (Shift 10)
00061. Hudsanon -> Hudson (Shift 10)
00062. Esalatedaon -> Isolated (Shift 10)
00063. Calgaryoson -> Calgary (Shift 10)
00064. Enteremaon -> Interim (Shift 10)
00065. Assestedaon -> Assisted (Shift 10)
00066. Deveneon -> Divine (Shift 10)
00067. Streamengaon -> Streaming (Shift 10)
00068. Appraveon -> Approve (Shift 10)
00069. Chaseon -> Chose (Shift 10)
00070. Campaundaon -> Compound (Shift 10)
00071. Entensetyaon -> Intensity (Shift 10)
00072. Technalagecalaon -> Technological (Shift 10)
