Misbard : life-sight
Kelpuz : death
Vuparr : mind-bringer
Pidelg : eternal-master
Zufev : king-master
Rispil : death
Pemist : water
Vemak : grace-master
Dukism : fire
Lamed : dark
Gisril : king
Ligum : shadow
Gebos : mind
Disgaz : realm
Zarkisn : peak-fall
Nelbard : iron-keeper
Barvif : moon-rise
Raseb : eternal-forge
Zarveld : wind
Bikag : vision
Donaz : star
Relvel : earth-bearer
Tekab : truth-song
Telkiv : eternal
Deltog : truth
Belkel : dark-fall
Pargelt : light
Befud : space-guard
Belfog : grace-keeper
Donus : king-rise
Zubal : sky
Fiszut : spirit-shaper
Fekab : shadow-seeker
Pegor : frost-rise
Fusek : realm-keeper
Tekuv : light-guard
Rutiv : life
Zelrad : sword-master
Lizop : moon
Zimart : path
Relvop : blood
Torisp : ancient-heart
Velif : life-walker
Sutez : force-seeker
Varbet : star
Sovuz : grace-blade
Fizisr : spirit-fall
Pivek : sun-rise
Dupof : life-bearer
Linok : sword-song
Pater : storm-rise
Turelg : force-bringer
Zamisg : peak-song
Dekarv : path
Telzisp : fury
Rezaf : shield
Bonist : light
Tarneb : sword
Mazarl : fury
Gelfin : mind-walker
Lurisv : light-shaper
Tipeld : fire-seeker
Roveb : sky-master
Rivelz : star-caller
Mapisg : sun
Dereln : storm-keeper
Zitof : sword-rise
Defol : spirit
Marlov : ancient
Dismap : light-seeker
Gibon : time-guard
Daneb : sword-keeper
Vunelt : death-song
Rogip : vision-caller
Depuk : blood-weaver
Risdat : peak-guard
Gofisp : queen-walker
Raliz : mind
Bispif : queen
Zubid : shadow-master
Kidas : path-born
Fardov : soul-shaper
Guter : ancient-fall
Pelrov : peak-song
Marzaf : truth
Pikarv : water-guard
Nobak : time
Melgif : silent
Sisgep : space-shaper
Pelkarv : spirit-shaper
Razisk : sky-shaper
Selbev : realm-bringer
Kisup : moon
Giskul : time
Relnep : stone
Fupim : silent-heart
Fimas : path
Peltob : storm-bearer
Nodep : force-guard
Telfuk : space-keeper
Lovarm : path
Barrof : vision
Bupof : sword-bringer
Dartuz : time-rise
Varkem : dark-keeper
Relnarp : shield
Veniz : vision-sight
Tafarg : power
Seldab : life
Rigap : sun-blade
Fumed : peak-keeper
Terarp : queen
Mesisz : fire-born
